rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1228,SWE,Johanna SJOSTEDT,-3,0 - 1,0,100 / 1,https://bwfbadminton.com/player/62101/johanna-sjostedt,62101
1228,SWE,Isabelle GRAFSUND,-3,15 - 11,0,100 / 1,https://bwfbadminton.com/player/82840/isabelle-grafsund,82840
1228,TUR,Bahar YAVRU,-3,12 - 7,0,100 / 1,https://bwfbadminton.com/player/56693/bahar-yavru,56693
1228,IND,Vibhuti SHARMA,-3,0 - 1,0,100 / 1,https://bwfbadminton.com/player/82324/vibhuti-sharma,82324
1228,IND,Rohini BILAWAR,-3,0 - 0,0,100 / 1,https://bwfbadminton.com/player/89979/rohini-bilawar,89979
1228,IND,Niranjana ANIL,-3,0 - 0,0,100 / 1,https://bwfbadminton.com/player/97872/niranjana-anil,97872
1228,IND,Mamitha KADARI,-3,1 - 3,0,100 / 1,https://bwfbadminton.com/player/88632/mamitha-kadari,88632
1228,NOR,Emma WÅLAND,-3,0 - 4,0,100 / 1,https://bwfbadminton.com/player/75208/emma-w%C3%85land,75208
1228,NOR,Emilia PETERSEN NORBERG,-3,0 - 4,0,100 / 1,https://bwfbadminton.com/player/93321/emilia-petersen-norberg,93321
1228,SWE,Emelie BORGSTEDT,-3,1 - 4,0,100 / 1,https://bwfbadminton.com/player/97055/emelie-borgstedt,97055
1228,SWE,Salisa CHAYRUKSA,-3,0 - 0,0,100 / 1,https://bwfbadminton.com/player/75700/salisa-chayruksa,75700
1228,EGY,Dina ESSAM MOHAMED,-3,0 - 0,0,100 / 1,https://bwfbadminton.com/player/79238/dina-essam-mohamed,79238
1228,EGY,Laila KHALED ABDELAZIZ,-3,0 - 0,0,100 / 1,https://bwfbadminton.com/player/55471/laila-khaled-abdelaziz,55471
1228,EGY,Sara AYMAN GAMALELDIN,-3,0 - 0,0,100 / 1,https://bwfbadminton.com/player/55620/sara-ayman-gamaleldin,55620
1228,EGY,Nada ELSAYED,-3,0 - 0,0,100 / 1,https://bwfbadminton.com/player/72074/nada-elsayed,72074
1228,EGY,Salma AHMED FOUAD MOHAMED,-3,0 - 1,0,100 / 1,https://bwfbadminton.com/player/64987/salma-ahmed-fouad-mohamed,64987
1228,EGY,Rowaida ABDALLAH MORSI,-3,0 - 2,0,100 / 1,https://bwfbadminton.com/player/82369/rowaida-abdallah-morsi,82369
